Depth;Zenit;Azimut
10;0,17;0,00
20;0,32;45,00
30;0,67;90,00
40;0,77;135,00
50;0,82;180,00
60;0,75;225,00
70;0,67;270,00
80;0,60;315,00
90;0,68;0,00
100;0,65;45,00
110;0,67;90,00
120;0,68;135,00
130;0,65;180,00
140;0,78;225,00
150;0,77;270,00
160;0,72;315,00
170;0,70;0,00
180;0,63;45,00
190;0,67;90,00
200;0,68;135,00
210;0,80;180,00
220;0,77;225,00
230;0,75;270,00
240;0,57;315,00
250;0,52;0,00
260;0,55;45,00
270;0,52;90,00
280;0,43;135,00
290;0,37;180,00
300;0,53;225,00
310;0,40;37,00
320;0,50;39,00
330;0,42;45,00
340;0,15;151,00
350;0,28;167,00
360;0,65;165,00
370;1,83;168,00
380;2,27;172,00
390;2,32;175,00
400;2,58;176,00
410;3,07;176,00
420;3,35;176,00
430;4,12;176,00
440;4,07;179,00
450;4,67;180,00
460;5,17;183,00
470;5,90;186,00
480;7,00;184,00
490;7,12;184,00
500;8,28;183,00
510;9,35;186,00
520;10,05;185,00
530;10,32;185,00
540;10,82;185,00
550;11,72;187,00
560;12,22;188,00
570;13,17;189,00
580;14,40;190,00
590;14,93;191,00
600;15,07;192,00
610;15,30;192,00
620;15,43;192,00
630;15,65;192,00
640;15,75;193,00
650;15,73;193,00
660;15,87;194,00
670;15,98;193,00
680;15,55;192,00
690;15,38;191,00
700;15,32;190,00
710;15,43;190,00
720;15,62;191,00
730;15,72;190,00
740;15,35;190,00
750;15,35;190,00
760;14,60;189,00
770;13,57;189,00
780;13,17;188,00
790;12,17;187,00
800;11,48;186,00
810;10,93;185,00
820;10,93;185,00
830;9,92;183,00
840;9,33;184,00
850;8,25;184,00
860;7,68;183,00
870;7,22;181,00
880;7,05;181,00
890;7,02;181,00
900;6,55;180,00
910;6,18;181,00
920;5,52;183,00
930;5,00;186,00
940;4,80;190,00
950;4,38;191,00
960;3,53;193,00
970;2,90;191,00
980;2,68;188,00
990;2,15;180,00
1000;1,88;177,00
1010;1,42;178,00
1020;0,97;174,00
1040;0,73;157,00
1050;0,78;154,00
1060;0,72;147,00
1070;0,77;143,00
1080;0,82;141,00
1090;0,57;131,00
1100;0,55;129,00
1110;0,52;134,00
1120;0,58;139,00
1130;0,48;137,00
1140;0,40;136,00
1150;0,37;132,00
1160;0,35;129,00
1170;0,35;132,00
1180;0,30;133,00
1190;0,32;135,00
1200;0,28;138,00
1210;0,37;128,00
1220;0,43;128,00
1230;0,85;124,33
1240;0,86;153,28
1250;0,59;182,15
1260;0,19;184,80
1270;0,28;89,06
1280;0,58;100,67
1290;0,72;128,60
1300;0,54;159,90
1310;0,43;175,53
1320;0,19;216,72
1330;0,31;207,79
1340;0,29;210,10
1350;0,31;211,13
1360;0,34;214,88
1370;0,31;213,17
1380;0,44;272,24
1390;0,56;292,89
1400;0,36;292,16
1410;0,52;311,68
1420;0,74;325,05
1430;0,74;331,25
1440;0,82;335,39
1450;0,96;340,99
1460;0,80;340,58
1470;0,79;335,61
1480;0,85;332,26
1490;0,55;321,34
1500;0,58;311,41
1510;0,61;305,34
1520;0,63;302,84
1530;0,58;301,66
1540;0,42;286,84
1550;0,47;277,84
1560;0,54;281,15
1570;0,62;268,67
1580;0,77;284,17
1590;0,86;300,00
1600;0,95;297,86
1610;1,02;290,23
1620;1,00;271,58
1630;1,06;272,72
1640;1,00;267,20
1650;0,84;257,51
1660;0,29;249,12
1670;0,52;307,43
1680;0,77;297,85
1690;0,68;300,81
1700;0,84;283,20
1710;1,01;260,15
1720;1,00;249,01
1730;0,89;224,51
1740;1,00;229,79
1750;1,08;223,97
1760;1,09;213,89
1770;1,20;222,20
1780;1,06;218,11
1790;0,83;200,23
1800;0,72;191,53
1810;0,90;189,69
1820;0,50;181,03
